,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
38,La Union,SAN GABRIEL,2021,WET,Palay,1000,596
39,La Union,SAN GABRIEL,2021,WET,Palay,2000,722
40,La Union,SAN GABRIEL,2021,WET,Palay,7500,3382
41,La Union,SAN GABRIEL,2021,WET,Palay,7500,3646
42,La Union,SAN GABRIEL,2021,WET,Palay,2000,864
43,La Union,SAN GABRIEL,2021,WET,Palay,7500,3482
44,La Union,SAN GABRIEL,2021,WET,Palay,10000,3127
45,La Union,SAN GABRIEL,2021,WET,Palay,10000,3654
46,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1783
47,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1592
48,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1876
49,La Union,SAN GABRIEL,2021,DRY,Palay,10500,3395
50,La Union,SAN GABRIEL,2021,WET,Palay,10000,3681
51,La Union,SAN GABRIEL,2021,WET,Palay,1000,589
52,La Union,SAN GABRIEL,2021,WET,Palay,2000,732
53,La Union,SAN GABRIEL,2021,WET,Palay,7500,3622
54,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1732
55,La Union,SAN GABRIEL,2021,WET,Palay,10000,3444
56,La Union,SAN GABRIEL,2021,WET,Palay,1000,572
57,La Union,SAN GABRIEL,2021,DRY,Palay,10500,3725
58,La Union,SAN GABRIEL,2021,WET,Palay,1500,1894
59,La Union,SAN GABRIEL,2021,WET,Palay,2500,1578
60,La Union,SAN GABRIEL,2021,WET,Palay,2000,1182
61,La Union,SAN GABRIEL,2021,WET,Palay,7500,3458
62,La Union,SAN GABRIEL,2021,WET,Palay,2000,921
63,La Union,SAN GABRIEL,2021,WET,Palay,7500,3588
64,La Union,SAN GABRIEL,2021,WET,Palay,10000,2976
65,La Union,SAN GABRIEL,2021,WET,Palay,10000,3721
66,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1677
67,La Union,SAN GABRIEL,2021,WET,Palay,7500,3521
68,La Union,SAN GABRIEL,2021,WET,Palay,10000,3164
69,La Union,SAN GABRIEL,2021,WET,Palay,10000,3723
70,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1567
71,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1623
72,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1823
73,La Union,SAN GABRIEL,2021,DRY,Palay,10500,3523
74,La Union,SAN GABRIEL,2021,WET,Palay,10000,3672
75,La Union,SAN GABRIEL,2021,WET,Palay,1000,572
76,La Union,SAN GABRIEL,2021,WET,Palay,2000,782
77,La Union,SAN GABRIEL,2021,WET,Palay,7500,3762
78,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1825
79,La Union,SAN GABRIEL,2022,WET,Palay,10000,3236
80,La Union,SAN GABRIEL,2022,WET,Palay,1000,582
81,La Union,SAN GABRIEL,2022,DRY,Palay,10500,3812
82,La Union,SAN GABRIEL,2022,WET,Palay,1500,1785
83,La Union,SAN GABRIEL,2022,WET,Palay,2500,1671
84,La Union,SAN GABRIEL,2022,WET,Palay,2000,1253
85,La Union,SAN GABRIEL,2022,WET,Palay,7500,3475
86,La Union,SAN GABRIEL,2022,DRY,Mais,2500,1623
87,La Union,SAN GABRIEL,2022,DRY,Mais,2500,1245
88,La Union,SAN GABRIEL,2022,DRY,Mais,2500,1854
89,La Union,SAN GABRIEL,2022,DRY,Palay,10500,3576
90,La Union,SAN GABRIEL,2022,WET,Palay,10000,3631
91,La Union,SAN GABRIEL,2022,WET,Palay,1000,512
92,La Union,SAN GABRIEL,2022,WET,Palay,2000,753
93,La Union,SAN GABRIEL,2022,WET,Palay,7500,3527
94,La Union,SAN GABRIEL,2022,DRY,Mais,2500,1854
95,La Union,SAN GABRIEL,2022,WET,Palay,10000,3265
96,La Union,SAN GABRIEL,2022,WET,Palay,1000,426
97,La Union,SAN GABRIEL,2022,DRY,Palay,10500,3854
98,La Union,SAN GABRIEL,2022,WET,Palay,1500,1689
99,La Union,SAN GABRIEL,2022,WET,Palay,2500,1653
100,La Union,SAN GABRIEL,2022,WET,Palay,2000,1248
101,La Union,SAN GABRIEL,2022,DRY,Palay,4800,950
102,La Union,SAN GABRIEL,2022,WET,Palay,4800,684
103,La Union,SAN GABRIEL,2022,DRY,Palay,4800,968
104,La Union,SAN GABRIEL,2022,WET,Palay,4800,717
105,La Union,SAN GABRIEL,2022,DRY,Palay,4800,942
106,La Union,SAN GABRIEL,2022,WET,Palay,4800,695
107,La Union,SAN GABRIEL,2022,DRY,Palay,4800,938
108,La Union,SAN GABRIEL,2022,WET,Palay,4800,694
109,La Union,SAN GABRIEL,2022,WET,Palay,10000,3728
110,La Union,SAN GABRIEL,2022,WET,Palay,2500,1528
111,La Union,SAN GABRIEL,2022,WET,Palay,2500,1532
112,La Union,SAN GABRIEL,2022,DRY,Palay,4800,947
113,La Union,SAN GABRIEL,2022,WET,Palay,4800,672
114,La Union,SAN GABRIEL,2022,DRY,Palay,4800,973
115,La Union,SAN GABRIEL,2022,WET,Palay,4800,725
116,La Union,SAN GABRIEL,2022,DRY,Palay,4800,936
117,La Union,SAN GABRIEL,2022,WET,Palay,4800,718
118,La Union,SAN GABRIEL,2022,DRY,Palay,4800,947
119,La Union,SAN GABRIEL,2022,WET,Palay,4800,702
120,La Union,SAN GABRIEL,2019,DRY,Palay,4800,932
121,La Union,SAN GABRIEL,2019,WET,Palay,4800,623
122,La Union,SAN GABRIEL,2019,DRY,Palay,4800,925
123,La Union,SAN GABRIEL,2019,WET,Palay,4800,704
124,La Union,SAN GABRIEL,2019,DRY,Palay,10000,3811
125,La Union,SAN GABRIEL,2019,WET,Palay,2500,1573
126,La Union,SAN GABRIEL,2019,WET,Palay,2500,1633
127,La Union,SAN GABRIEL,2019,DRY,Palay,4800,921
128,La Union,SAN GABRIEL,2019,WET,Palay,4800,681
129,La Union,SAN GABRIEL,2019,DRY,Palay,4800,952
130,La Union,SAN GABRIEL,2019,WET,Palay,4800,743
131,La Union,SAN GABRIEL,2019,DRY,Palay,4800,975
132,La Union,SAN GABRIEL,2019,WET,Palay,4800,723
133,La Union,SAN GABRIEL,2019,DRY,Palay,4800,956
134,La Union,SAN GABRIEL,2019,WET,Palay,4800,731
135,La Union,SAN GABRIEL,2019,DRY,Palay,4800,942
136,La Union,SAN GABRIEL,2019,WET,Palay,4800,642
137,La Union,SAN GABRIEL,2019,DRY,Palay,4800,928
138,La Union,SAN GABRIEL,2019,WET,Palay,4800,678
139,La Union,SAN GABRIEL,2019,DRY,Palay,10000,3821
140,La Union,SAN GABRIEL,2019,WET,Palay,2500,1628
141,La Union,SAN GABRIEL,2019,WET,Palay,2500,1622
142,La Union,SAN GABRIEL,2019,DRY,Palay,4800,945
143,La Union,SAN GABRIEL,2019,WET,Palay,4800,671
144,La Union,SAN GABRIEL,2019,DRY,Palay,4800,973
145,La Union,SAN GABRIEL,2019,WET,Palay,4800,729
146,La Union,SAN GABRIEL,2019,DRY,Palay,4800,962
147,La Union,SAN GABRIEL,2019,WET,Palay,4800,764
148,La Union,SAN GABRIEL,2019,DRY,Palay,4800,972
149,La Union,SAN GABRIEL,2019,WET,Palay,4800,729
150,La Union,SAN GABRIEL,2019,WET,Palay,2000,694
151,La Union,SAN GABRIEL,2019,WET,Palay,7500,3752
152,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1631
153,La Union,SAN GABRIEL,2019,WET,Palay,10000,3523
154,La Union,SAN GABRIEL,2019,WET,Palay,1000,534
155,La Union,SAN GABRIEL,2019,DRY,Palay,10500,3562
156,La Union,SAN GABRIEL,2019,WET,Palay,1500,1974
157,La Union,SAN GABRIEL,2019,WET,Palay,2500,1725
158,La Union,SAN GABRIEL,2019,WET,Palay,2000,1078
159,La Union,SAN GABRIEL,2019,WET,Palay,7500,3629
160,La Union,SAN GABRIEL,2019,WET,Palay,2000,942
161,La Union,SAN GABRIEL,2019,WET,Palay,7500,3728
162,La Union,SAN GABRIEL,2019,WET,Palay,10000,3126
163,La Union,SAN GABRIEL,2019,WET,Palay,10000,3741
164,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1942
165,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1725
166,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1971
167,La Union,SAN GABRIEL,2019,DRY,Palay,10500,3672
168,La Union,SAN GABRIEL,2019,DRY,Palay,10500,3629
169,La Union,SAN GABRIEL,2019,DRY,Palay,10500,3124
170,La Union,SAN GABRIEL,2020,WET,Palay,1000,534
171,La Union,SAN GABRIEL,2020,DRY,Palay,10500,3567
172,La Union,SAN GABRIEL,2020,WET,Palay,1500,2014
173,La Union,SAN GABRIEL,2020,WET,Palay,2500,1578
174,La Union,SAN GABRIEL,2020,WET,Palay,2000,1092
175,La Union,SAN GABRIEL,2020,DRY,Palay,7500,3589
176,La Union,SAN GABRIEL,2020,WET,Palay,2000,915
177,La Union,SAN GABRIEL,2020,DRY,Palay,7500,3728
178,La Union,SAN GABRIEL,2020,DRY,Palay,10000,3124
179,La Union,SAN GABRIEL,2020,WET,Palay,10000,3592
180,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1794
181,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1725
182,La Union,SAN GABRIEL,2021,WET,Palay,7000,2982
183,La Union,SAN GABRIEL,2021,WET,Palay,2500,1143
184,La Union,SAN GABRIEL,2021,WET,Palay,7500,3521
185,La Union,SAN GABRIEL,2021,WET,Palay,10000,3398
186,La Union,SAN GABRIEL,2021,WET,Palay,10000,3784
187,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1689
188,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1557
189,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1925
190,La Union,SAN GABRIEL,2021,DRY,Palay,10500,3499
191,La Union,SAN GABRIEL,2021,WET,Palay,10000,3791
192,La Union,SAN GABRIEL,2021,WET,Palay,1000,592
193,La Union,SAN GABRIEL,2021,WET,Palay,2000,781
194,La Union,SAN GABRIEL,2021,WET,Palay,7500,3688
195,La Union,SAN GABRIEL,2021,DRY,Mais,2500,1784
196,La Union,SAN GABRIEL,2021,WET,Palay,10000,3921
197,La Union,BACNOTAN,2019,WET,Palay,7500,3472
198,La Union,BACNOTAN,2019,DRY,Mais,2500,1535
199,La Union,BACNOTAN,2019,WET,Palay,10000,3367
200,La Union,BACNOTAN,2019,WET,Palay,1000,515
201,La Union,BACNOTAN,2019,DRY,Palay,10500,3378
202,La Union,BACNOTAN,2019,WET,Palay,1500,1782
203,La Union,BACNOTAN,2019,WET,Palay,2500,1574
204,La Union,BACNOTAN,2019,WET,Palay,2000,1072
205,La Union,BACNOTAN,2019,WET,Palay,7500,3719
206,La Union,BACNOTAN,2019,WET,Palay,2000,941
207,La Union,BACNOTAN,2019,WET,Palay,7500,3782
208,La Union,BACNOTAN,2019,WET,Palay,10000,2974
209,La Union,BACNOTAN,2019,WET,Palay,10000,3620
210,La Union,BACNOTAN,2019,DRY,Mais,2500,1608
211,La Union,BACNOTAN,2019,DRY,Mais,2500,1549
212,La Union,BACNOTAN,2019,DRY,Mais,2500,1794
213,La Union,BACNOTAN,2019,DRY,Palay,10500,3538
214,La Union,BACNOTAN,2019,DRY,Palay,10500,3648
215,La Union,BACNOTAN,2019,DRY,Palay,10500,2997
216,La Union,BACNOTAN,2019,DRY,Palay,2000,861
217,La Union,BACNOTAN,2019,DRY,Palay,10500,3497
218,La Union,BACNOTAN,2019,WET,Palay,7500,3562
219,La Union,BACNOTAN,2019,DRY,Mais,2500,1562
220,La Union,BACNOTAN,2019,WET,Palay,10000,3354
221,La Union,BACNOTAN,2019,WET,Palay,1000,537
222,La Union,BACNOTAN,2019,DRY,Palay,10500,3875
223,La Union,BACNOTAN,2019,WET,Palay,1500,1685
224,La Union,BACNOTAN,2019,WET,Palay,2500,1581
225,La Union,BACNOTAN,2019,WET,Palay,2000,984
226,La Union,BACNOTAN,2019,WET,Palay,7500,3638
227,La Union,BACNOTAN,2019,WET,Palay,2000,938
228,La Union,BACNOTAN,2019,DRY,Palay,7500,3694
229,La Union,BACNOTAN,2019,WET,Palay,10000,2780
230,La Union,BACNOTAN,2019,DRY,Palay,10000,3543
231,La Union,BACNOTAN,2019,WET,Mais,2500,1763
232,La Union,BACNOTAN,2019,WET,Mais,2500,1478
233,La Union,BACNOTAN,2019,DRY,Mais,2500,1685
234,La Union,BACNOTAN,2019,WET,Palay,10500,3647
235,La Union,BACNOTAN,2019,DRY,Palay,10500,3689
236,La Union,BACNOTAN,2019,DRY,Palay,10500,2864
237,La Union,BACNOTAN,2019,DRY,Palay,2000,853
238,La Union,BACNOTAN,2019,DRY,Palay,10500,3575
239,La Union,BACNOTAN,2020,WET,Palay,1000,623
240,La Union,BACNOTAN,2020,WET,Palay,2000,724
241,La Union,BACNOTAN,2020,WET,Palay,7500,3421
242,La Union,BACNOTAN,2020,WET,Palay,7500,3574
243,La Union,BACNOTAN,2020,WET,Palay,2000,875
244,La Union,BACNOTAN,2020,WET,Palay,7500,3569
245,La Union,BACNOTAN,2020,WET,Palay,10000,3205
246,La Union,BACNOTAN,2020,WET,Palay,10000,2056
247,La Union,BACNOTAN,2020,DRY,Mais,2500,1832
248,La Union,BACNOTAN,2020,DRY,Mais,2500,1642
249,La Union,BACNOTAN,2020,DRY,Mais,2500,1733
250,La Union,BACNOTAN,2020,DRY,Palay,10500,3275
251,La Union,BACNOTAN,2020,WET,Palay,10000,3697
252,La Union,BACNOTAN,2020,WET,Palay,1000,576
253,La Union,BACNOTAN,2020,WET,Palay,2000,751
254,La Union,BACNOTAN,2020,DRY,Mais,2500,1983
255,La Union,BACNOTAN,2020,DRY,Mais,2000,1798
256,La Union,BACNOTAN,2020,DRY,Mais,3000,2430
257,La Union,BACNOTAN,2020,DRY,Mais,3000,2523
258,La Union,BACNOTAN,2020,WET,Mais,2500,1989
259,La Union,BACNOTAN,2020,DRY,Mais,500,234
260,La Union,BACNOTAN,2020,DRY,Mais,2000,1695
261,La Union,BACNOTAN,2020,DRY,Mais,1000,985
262,La Union,BACNOTAN,2020,DRY,Mais,1200,1076
263,La Union,BACNOTAN,2020,WET,Mais,2500,1878
264,La Union,BACNOTAN,2020,DRY,Mais,2500,1983
265,La Union,BACNOTAN,2020,DRY,Mais,2000,1798
266,La Union,BACNOTAN,2020,WET,Mais,3000,2636
267,La Union,BACNOTAN,2020,DRY,Mais,3000,2469
268,La Union,BACNOTAN,2020,WET,Mais,500,379
269,La Union,SAN GABRIEL,2019,DRY,Mais,2000,2366
270,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1574
271,La Union,SAN GABRIEL,2019,WET,Mais,3000,2987
272,La Union,SAN GABRIEL,2019,WET,Mais,2500,1644
273,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1673
274,La Union,SAN GABRIEL,2019,DRY,Mais,3500,2335
275,La Union,SAN GABRIEL,2019,DRY,Mais,2000,1457
276,La Union,SAN GABRIEL,2019,DRY,Mais,2000,1632
277,La Union,SAN GABRIEL,2019,WET,Mais,2500,1683
278,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1563
279,La Union,SAN GABRIEL,2019,WET,Mais,3000,2784
280,La Union,SAN GABRIEL,2019,WET,Mais,2500,1711
281,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1674
282,La Union,SAN GABRIEL,2019,DRY,Mais,3000,2038
283,La Union,SAN GABRIEL,2019,DRY,Mais,2000,1294
284,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1587
285,La Union,SAN GABRIEL,2019,WET,Mais,3000,2974
286,La Union,SAN GABRIEL,2019,WET,Mais,2500,1689
287,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1682
288,La Union,SAN GABRIEL,2019,DRY,Mais,3500,2316
289,La Union,SAN GABRIEL,2019,DRY,Mais,2000,1422
290,La Union,SAN GABRIEL,2019,DRY,Mais,2500,1648
291,La Union,SAN GABRIEL,2019,WET,Mais,3000,3006
292,La Union,SAN GABRIEL,2019,WET,Mais,2500,1752
293,La Union,SAN GABRIEL,2019,DRY,Mais,500,392
294,La Union,SAN GABRIEL,2019,WET,Mais,3500,2464
295,La Union,SAN GABRIEL,2019,DRY,Mais,2000,1388
296,La Union,SAN GABRIEL,2019,WET,Mais,2500,1772
297,La Union,SAN GABRIEL,2019,WET,Mais,3000,2998
298,La Union,SAN GABRIEL,2019,WET,Mais,2500,1655
299,La Union,SAN GABRIEL,2019,DRY,Mais,500,428
300,La Union,SAN GABRIEL,2020,DRY,Mais,3000,2142
301,La Union,SAN GABRIEL,2020,DRY,Mais,2000,1364
302,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1621
303,La Union,SAN GABRIEL,2020,WET,Mais,3000,2948
304,La Union,SAN GABRIEL,2020,WET,Mais,2500,1731
305,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1692
306,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1632
307,La Union,SAN GABRIEL,2020,WET,Mais,3000,2966
308,La Union,SAN GABRIEL,2020,WET,Mais,2500,1746
309,La Union,SAN GABRIEL,2020,DRY,Mais,2500,1699
