District_Name,State_Name,Crop_Year,Season,Crop,Area,Production
La Union,SAN GABRIEL,2020,WET,Palay,2500,1578
La Union,SAN GABRIEL,2020,WET,Palay,2000,1092
La Union,SAN GABRIEL,2020,DRY,Palay,7500,3589
La Union,SAN GABRIEL,2020,WET,Palay,2000,915
La Union,SAN GABRIEL,2020,DRY,Palay,7500,3728
La Union,SAN GABRIEL,2020,DRY,Palay,10000,3124
La Union,SAN GABRIEL,2020,WET,Palay,10000,3592
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1794
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1725
La Union,SAN GABRIEL,2021,WET,Palay,7000,2982
La Union,SAN GABRIEL,2021,WET,Palay,2500,1143
La Union,SAN GABRIEL,2021,WET,Palay,7500,3521
La Union,SAN GABRIEL,2021,WET,Palay,10000,3398
La Union,SAN GABRIEL,2021,WET,Palay,10000,3784
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1689
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1557
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1925
La Union,SAN GABRIEL,2021,DRY,Palay,10500,3499
La Union,SAN GABRIEL,2021,WET,Palay,10000,3791
La Union,SAN GABRIEL,2021,WET,Palay,1000,592
La Union,SAN GABRIEL,2021,WET,Palay,2000,781
La Union,SAN GABRIEL,2021,WET,Palay,7500,3688
La Union,SAN GABRIEL,2021,DRY,Mais,2500,1784
La Union,SAN GABRIEL,2021,WET,Palay,10000,3921
La Union,BACNOTAN,2019,WET,Palay,7500,3472
La Union,BACNOTAN,2019,DRY,Mais,2500,1535
La Union,BACNOTAN,2019,WET,Palay,10000,3367
La Union,BACNOTAN,2019,WET,Palay,1000,515
La Union,BACNOTAN,2019,DRY,Palay,10500,3378
La Union,BACNOTAN,2019,WET,Palay,1500,1782
La Union,BACNOTAN,2019,WET,Palay,2500,1574
La Union,BACNOTAN,2019,WET,Palay,2000,1072
La Union,BACNOTAN,2019,WET,Palay,7500,3719
La Union,BACNOTAN,2019,WET,Palay,2000,941
La Union,BACNOTAN,2019,WET,Palay,7500,3782
La Union,BACNOTAN,2019,WET,Palay,10000,2974
La Union,BACNOTAN,2019,WET,Palay,10000,3620
La Union,BACNOTAN,2019,DRY,Mais,2500,1608
La Union,BACNOTAN,2019,DRY,Mais,2500,1549
La Union,BACNOTAN,2019,DRY,Mais,2500,1794
La Union,BACNOTAN,2019,DRY,Palay,10500,3538
La Union,BACNOTAN,2019,DRY,Palay,10500,3648
La Union,BACNOTAN,2019,DRY,Palay,10500,2997
La Union,BACNOTAN,2019,DRY,Palay,2000,861
La Union,BACNOTAN,2019,DRY,Palay,10500,3497
La Union,BACNOTAN,2019,WET,Palay,7500,3562
La Union,BACNOTAN,2019,DRY,Mais,2500,1562
La Union,BACNOTAN,2019,WET,Palay,10000,3354
La Union,BACNOTAN,2019,WET,Palay,1000,537
La Union,BACNOTAN,2019,DRY,Palay,10500,3875
La Union,BACNOTAN,2019,WET,Palay,1500,1685
La Union,BACNOTAN,2019,WET,Palay,2500,1581
La Union,BACNOTAN,2019,WET,Palay,2000,984
La Union,BACNOTAN,2019,WET,Palay,7500,3638
La Union,BACNOTAN,2019,WET,Palay,2000,938
La Union,BACNOTAN,2019,DRY,Palay,7500,3694
La Union,BACNOTAN,2019,WET,Palay,10000,2780
La Union,BACNOTAN,2019,DRY,Palay,10000,3543
La Union,BACNOTAN,2019,WET,Mais,2500,1763
La Union,BACNOTAN,2019,WET,Mais,2500,1478
La Union,BACNOTAN,2019,DRY,Mais,2500,1685
La Union,BACNOTAN,2019,WET,Palay,10500,3647
La Union,BACNOTAN,2019,DRY,Palay,10500,3689
La Union,BACNOTAN,2019,DRY,Palay,10500,2864
La Union,BACNOTAN,2019,DRY,Palay,2000,853
La Union,BACNOTAN,2019,DRY,Palay,10500,3575
La Union,BACNOTAN,2020,WET,Palay,1000,623
La Union,BACNOTAN,2020,WET,Palay,2000,724
La Union,BACNOTAN,2020,WET,Palay,7500,3421
La Union,BACNOTAN,2020,WET,Palay,7500,3574
La Union,BACNOTAN,2020,WET,Palay,2000,875
La Union,BACNOTAN,2020,WET,Palay,7500,3569
La Union,BACNOTAN,2020,WET,Palay,10000,3205
La Union,BACNOTAN,2020,WET,Palay,10000,2056
La Union,BACNOTAN,2020,DRY,Mais,2500,1832
La Union,BACNOTAN,2020,DRY,Mais,2500,1642
La Union,BACNOTAN,2020,DRY,Mais,2500,1733
La Union,BACNOTAN,2020,DRY,Palay,10500,3275
La Union,BACNOTAN,2020,WET,Palay,10000,3697
La Union,BACNOTAN,2020,WET,Palay,1000,576
La Union,BACNOTAN,2020,WET,Palay,2000,751
La Union,BACNOTAN,2020,DRY,Mais,2500,1983
La Union,BACNOTAN,2020,DRY,Mais,2000,1798
La Union,BACNOTAN,2020,DRY,Mais,3000,2430
La Union,BACNOTAN,2020,DRY,Mais,3000,2523
La Union,BACNOTAN,2020,WET,Mais,2500,1989
La Union,BACNOTAN,2020,DRY,Mais,500,234
La Union,BACNOTAN,2020,DRY,Mais,2000,1695
La Union,BACNOTAN,2020,DRY,Mais,1000,985
La Union,BACNOTAN,2020,DRY,Mais,1200,1076
La Union,BACNOTAN,2020,WET,Mais,2500,1878
La Union,BACNOTAN,2020,DRY,Mais,2500,1983
La Union,BACNOTAN,2020,DRY,Mais,2000,1798
La Union,BACNOTAN,2020,WET,Mais,3000,2636
La Union,BACNOTAN,2020,DRY,Mais,3000,2469
La Union,BACNOTAN,2020,WET,Mais,500,379
La Union,SAN GABRIEL,2019,DRY,Mais,2000,2366
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1574
La Union,SAN GABRIEL,2019,WET,Mais,3000,2987
La Union,SAN GABRIEL,2019,WET,Mais,2500,1644
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1673
La Union,SAN GABRIEL,2019,DRY,Mais,3500,2335
La Union,SAN GABRIEL,2019,DRY,Mais,2000,1457
La Union,SAN GABRIEL,2019,DRY,Mais,2000,1632
La Union,SAN GABRIEL,2019,WET,Mais,2500,1683
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1563
La Union,SAN GABRIEL,2019,WET,Mais,3000,2784
La Union,SAN GABRIEL,2019,WET,Mais,2500,1711
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1674
La Union,SAN GABRIEL,2019,DRY,Mais,3000,2038
La Union,SAN GABRIEL,2019,DRY,Mais,2000,1294
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1587
La Union,SAN GABRIEL,2019,WET,Mais,3000,2974
La Union,SAN GABRIEL,2019,WET,Mais,2500,1689
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1682
La Union,SAN GABRIEL,2019,DRY,Mais,3500,2316
La Union,SAN GABRIEL,2019,DRY,Mais,2000,1422
La Union,SAN GABRIEL,2019,DRY,Mais,2500,1648
La Union,SAN GABRIEL,2019,WET,Mais,3000,3006
La Union,SAN GABRIEL,2019,WET,Mais,2500,1752
La Union,SAN GABRIEL,2019,DRY,Mais,500,392
La Union,SAN GABRIEL,2019,WET,Mais,3500,2464
La Union,SAN GABRIEL,2019,DRY,Mais,2000,1388
La Union,SAN GABRIEL,2019,WET,Mais,2500,1772
La Union,SAN GABRIEL,2019,WET,Mais,3000,2998
La Union,SAN GABRIEL,2019,WET,Mais,2500,1655
La Union,SAN GABRIEL,2019,DRY,Mais,500,428
La Union,SAN GABRIEL,2020,DRY,Mais,3000,2142
La Union,SAN GABRIEL,2020,DRY,Mais,2000,1364
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1621
La Union,SAN GABRIEL,2020,WET,Mais,3000,2948
La Union,SAN GABRIEL,2020,WET,Mais,2500,1731
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1692
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1632
La Union,SAN GABRIEL,2020,WET,Mais,3000,2966
La Union,SAN GABRIEL,2020,WET,Mais,2500,1746
La Union,SAN GABRIEL,2020,DRY,Mais,2500,1699
