N,P,K,temperature,humidity,ph,rainfall,label
71,36,39,67,93,5,1.08,Stringbeans
66,42,39,78,92,6,0.28,Palay
83,41,40,69,67,6,0.53,Palay
83,45,41,71,64,5,0.35,Palay
71,43,41,68,70,6,0.58,Mais
71,47,37,74,93,7,0.31,Palay
78,56,40,70,72,7,0.99,Kamote
90,54,42,69,62,7,0.4,Stringbeans
83,50,39,74,96,7,1.04,Palay
77,53,39,69,62,7,0.36,Palay
77,49,41,75,80,5,0.79,Palay
84,55,39,66,43,6,0,Tomatoes
82,56,42,75,74,7,0,Potatoes
67,41,41,70,78,5,1,Palay
72,55,39,70,70,6,0,Palay
67,49,40,68,82,7,0,Palay
72,44,38,77,62,7,0.11,Palay
91,44,38,66,71,5,0.47,Palay
76,45,37,76,59,5,0.31,Palay
91,47,38,76,68,5,0.13,Palay
90,53,39,67,90,7,0.7,Mais
77,57,40,75,81,5,0.28,Palay
72,38,42,67,90,6,0.98,Palay
78,59,40,76,76,6,0.03,Palay
87,55,41,65,83,5,0.54,Mais
83,53,38,74,55,7,0.67,Mais
64,52,39,76,96,5,0.8,Mais
66,58,37,70,73,5,0.83,Palay
72,36,39,69,86,5,0.53,Palay
67,39,36,68,47,6,0.94,Kamote
79,50,41,69,88,7,1.03,Stringbeans
69,51,40,76,88,7,0.79,Palay
89,54,37,73,78,6,0.74,Palay
71,51,41,73,76,7,0.17,Palay
73,55,36,66,54,7,0,Mais
88,40,38,69,68,6,0,Palay
90,59,37,66,97,5,1,Kamote
74,41,38,78,66,5,1,Stringbeans
91,41,36,66,70,7,1,Palay
84,52,36,69,42,7,0,Palay
70,37,36,74,63,5,0,Palay
84,58,38,69,56,7,0,Tomatoes
65,57,37,73,78,7,0,Potatoes
89,38,41,73,69,7,1,Palay
87,45,40,76,78,5,1,Palay
70,39,37,76,74,5,1,Palay
68,54,37,67,80,5,0,Mais
83,44,36,65,79,5,0,Mais
68,39,41,71,74,5,0,Mais
69,36,40,67,59,7,0,Palay
91,35,40,72,63,5,1,Palay
70,54,42,72,66,5,0,Kamote
66,40,42,75,94,5,1,Stringbeans
64,37,40,66,89,7,0,Palay
67,53,36,74,96,5,1,Palay
69,36,40,75,88,5,1,Palay
67,37,36,69,61,6,0,Mais
76,43,41,77,93,5,0,Palay
69,57,39,66,75,5,0,Kamote
75,50,38,78,62,6,1,Stringbeans
84,56,42,73,95,6,0,Palay
79,52,41,67,72,5,0,Palay
67,50,39,72,75,6,1,Palay
70,52,40,71,92,5,0.5,Tomatoes
80,48,40,69,80,6,0.97,Potatoes
88,47,39,67,88,5,1.03,Palay
78,55,40,78,73,7,0.76,Palay
68,48,36,68,63,7,0.76,Palay
71,42,39,70,94,5,0,Palay
64,56,41,67,77,5,0.12,Palay
84,57,40,69,80,7,1,Palay
71,57,41,75,52,6,0,Palay
89,48,36,76,94,6,1,Palay
82,53,39,70,97,7,0,Palay
64,42,39,75,79,7,0,Palay
83,38,41,67,77,6,0,Palay
85,39,37,70,69,6,0,Kamote
67,42,42,73,65,6,0,Stringbeans
68,40,36,75,50,6,0,Palay
68,46,41,66,70,7,0,Palay
91,51,40,65,56,6,0.86,Palay
66,56,38,73,82,6,0.37,Palay
82,56,42,73,42,7,1,Palay
87,59,38,71,74,6,1,Palay
91,37,38,69,86,5,0,Palay
68,58,42,75,91,6,0,Palay
65,39,39,67,52,7,0,Palay
69,46,40,75,89,6,1,Palay
