,N,P,K,temperature,humidity,rainfall,label
137,68,46,41,24.80710166,83.7287574,64.23845455,Palay
138,91,51,40,36.20970524,82.06719137,75.82270467,Palay
139,66,56,38,30.50420876,83.52842314,88.17251033,Palay
140,82,56,42,26.01630259,80.14509262,104.2321615,Palay
141,87,59,38,31.48469278,84.81360127,67.10225139,Palay
142,91,37,38,33.15122581,82.36698992,67.72777298,Palay
143,68,58,42,23.50222822,80.52586088,103.2234212,Palay
144,65,39,39,34.87248659,84.47963372,107.2361366,Palay
145,69,46,40,28.09269012,84.59201843,75.03247667,Palay
146,70,37,36,24.54757829,80.70960551,78.16077693,Palay
147,84,58,38,33.64769646,80.41363018,105.0083144,Palay
148,65,57,37,20.5591255,83.06310136,62.49190812,Palay
149,89,38,41,19.95991719,80.3477562,107.9124111,Palay
150,87,45,40,28.87667593,82.22572988,74.52082026,Palay
151,70,39,37,36.04353699,81.89918197,62.91359494,Palay
152,68,54,37,23.6734328,83.83625819,69.93293255,Mais
153,74,39,37,25.74679443,84.79352417,108.5054416,Palay
154,78,51,41,31.08564994,83.47021081,78.96159541,Palay
155,68,44,37,18.72987676,82.45432595,79.84925393,Palay
156,70,41,37,29.50304807,82.1235421,93.62039175,Palay
157,89,55,39,20.43517772,80.2389895,85.75692395,Palay
158,73,38,42,36.00415838,82.20802629,82.34162918,Palay
159,84,46,39,31.46846241,83.51827127,108.7603001,Palay
160,78,48,38,36.30049702,83.77345559,70.23401597,Palay
161,67,57,39,29.49096726,80.72886384,65.50861389,Palay
162,69,51,40,30.5753044,83.29114712,98.73771338,Palay
163,89,54,37,24.69487673,82.74835604,88.55123143,Palay
164,71,51,41,23.17409556,80.33502926,79.92698081,Mais
165,73,55,36,19.04380471,82.11124033,68.54932919,Mais
166,88,40,38,31.49398069,80.28597873,88.51048983,Mais
167,90,59,37,30.99694676,80.56887849,79.26357665,Palay
168,74,41,38,29.61253065,83.891805,92.68373702,Palay
169,91,41,36,29.97604322,82.1706881,74.6631118,Palay
170,84,52,36,30.88883074,82.84022551,82.61734721,Palay
171,70,37,36,30.39321309,83.00320459,81.84997529,Palay
172,84,58,38,30.43683729,84.56919326,81.98568791,Palay
173,65,57,37,25.32688786,81.85872947,93.55280105,Palay
174,89,38,41,30.53684308,81.78596776,74.58565097,Palay
175,87,45,40,30.38257873,81.97927117,78.96514709,Palay
176,70,39,37,24.01825377,81.46033732,80.7108745,Palay
177,68,54,37,28.69841277,83.72874389,70.18185181,Palay
178,83,44,36,29.33743412,80.37979919,71.58010169,Palay
179,78,59,40,27.96583691,82.94682591,73.50734019,Palay
180,87,55,41,24.86803974,81.05635517,82.52339655,Mais
181,83,53,38,25.87682261,84.96907151,66.96980581,Mais
182,64,52,39,31.01963639,80.54372813,90.46228334,Palay
183,66,58,37,27.43329405,83.47038318,71.31007253,Palay
184,75,44,41,28.3340432,81.43321641,85.74904898,Palay
185,72,40,40,27.01470397,81.40633547,89.31050665,Palay
186,87,53,42,28.17432665,81.03569343,85.52950164,Palay
187,76,47,36,29.87888063,84.1341879,72.94940441,Mais
188,78,49,41,29.89232778,81.91411159,72.32667516,Mais
189,82,52,42,28.56212158,83.88387074,74.87445574,Mais
190,84,47,39,27.53592929,80.12267476,94.70992037,Palay
191,73,51,36,29.68361658,83.85642678,83.74606679,Palay
192,91,39,41,28.14448546,82.81088865,78.92060234,Palay
193,84,59,40,29.53037621,83.46358271,83.75937135,Palay
194,90,45,40,27.88352946,82.14004101,76.57580954,Palay
195,78,55,38,28.22471276,83.3293191,91.76071648,Mais
196,66,50,38,29.008124,84.67353597,76.32470713,Palay
197,81,37,36,29.75538903,83.59512273,89.73119396,Palay
198,70,39,37,29.78416743,63.69070564,93.35034262,Mais
199,68,54,37,27.8640132,71.57476937,81.20176515,Palay
200,83,44,36,27.11026483,71.59351368,81.70769297,Palay
201,78,59,40,27.11030369,57.68272924,83.74879344,Palay
202,87,55,41,29.8596912,62.69503871,77.5429424,Palay
203,83,53,38,29.06631494,57.80840636,77.92798682,Palay
204,91,41,36,27.38538997,66.50415474,82.2545577,Palay
205,84,52,36,27.93034941,66.6902901,70.52056697,Palay
206,70,37,36,29.2808618,62.5542482,72.78624223,Palay
207,84,58,38,28.9973145,66.78627406,85.24819851,Palay
208,65,57,37,27.92678579,73.4541537,85.37378769,Palay
209,89,38,41,28.5474135,68.3584573,75.6317566,Palay
210,87,45,40,29.36488409,58.84015925,89.61857826,Mais
211,70,39,37,28.56149805,65.76816093,75.49101167,Mais
212,68,54,37,28.43683487,60.2001687,86.05078037,Mais
213,83,44,36,28.79728147,55.28220433,80.25064637,Palay
214,68,39,41,28.7275267,70.4162444,78.26039559,Palay
215,69,36,40,27.95639663,65.26185135,75.57790384,Palay
216,91,35,40,28.17458662,60.1159381,72.9446671,Palay
217,70,54,42,28.77653519,62.89366992,90.7760707,Palay
218,66,40,42,28.438097,73.80435276,77.81891424,Palay
219,77,53,39,29.48439992,71.09445342,78.06910795,Mais
220,77,49,41,26.73433965,66.65952796,85.57925437,Palay
221,84,55,39,26.27274407,58.75082029,69.40619137,Palay
222,82,56,42,34.03679184,67.22190688,76.32565249,Palay
223,67,41,41,28.03644051,68.49835977,80.6405403,Palay
224,72,55,39,28.81460716,57.48775781,80.1113384,Palay
225,67,49,40,34.03619494,71.50905983,91.94595352,Palay
226,72,44,38,33.8642935,63.10459626,87.51312796,Palay
227,91,44,38,32.84213012,63.4711755,94.00287214,Palay
228,76,45,37,27.10053268,63.1621551,88.4585692,Palay
229,91,47,38,25.65842532,55.53128131,84.78344008,Palay
230,90,53,39,32.34744009,67.99257471,68.97806542,Palay
231,77,57,40,29.58949031,61.89472002,88.68168643,Mais
232,72,38,42,30.91219459,65.61418761,202.9355362,Mais
233,78,59,40,28.12787838,74.089114,226.6555374,Mais
234,87,55,41,30.08545364,62.35750641,263.9642476,Palay
235,83,53,38,31.74379487,59.64024162,242.8640342,Palay
236,64,52,39,27.81326852,74.82913698,262.7173405,Palay
237,84,57,40,32.88733849,74.52600826,251.0549998,Palay
238,71,57,41,29.36358721,73.13112261,271.3248604,Palay
239,89,48,36,27.82592799,70.04556743,241.9741949,Palay
240,82,53,39,28.49538735,60.27766379,230.4462359,Palay
241,64,42,39,27.74274761,57.21025565,221.2091958,Palay
242,83,38,41,30.41588462,72.85462807,264.6148697,Palay
243,85,39,37,27.3254209,69.00128641,250.0832336,Palay
244,67,42,42,30.28496619,68.74248334,284.4364567,Palay
245,68,40,36,28.56840626,56.35606753,185.2773389,Palay
246,68,46,41,25.36586097,61.89082199,209.5869708,Palay
247,91,51,40,34.9466155,65.47050802,231.0863347,Mais
248,66,56,38,25.09737391,65.34583901,276.6552459,Mais
249,82,56,42,32.47648301,56.73426469,206.2611855,Mais
250,87,59,38,33.86351172,63.91281869,224.5550169,Palay
251,91,37,38,25.19857725,64.23580251,291.2986618,Palay
252,68,58,42,31.77681682,61.74427165,185.4974732,Palay
253,65,39,39,34.89814946,61.24500053,231.3843163,Palay
254,69,46,40,31.74105409,61.91044947,213.3560921,Mais
255,70,37,36,27.16159076,56.50768935,233.1075816,Mais
256,84,58,38,26.23773129,69.02298571,224.0581164,Mais
257,65,57,37,30.20157245,65.35549924,257.0038865,Mais
258,89,38,41,31.55846339,59.24537979,271.3586137,Mais
259,87,45,40,29.67892453,69.0276233,57.79863368,Mais
260,70,39,37,27.05365239,61.32026065,44.56598352,Mais
261,68,54,37,34.63880966,72.89187265,56.68833819,Mais
262,88,38,39,33.39438752,69.63481219,59.87065439,Mais
263,71,59,41,28.84079155,59.4375337,48.48319335,Mais
264,84,55,39,31.49338309,68.034493,48.56690235,Mais
265,74,53,42,25.54960633,73.58868502,43.80041104,Mais
266,74,52,41,34.37329112,59.52193158,36.94616965,Mais
267,78,58,39,34.6008247,61.33450447,53.43228915,Mais
268,68,36,40,29.43463808,68.30578978,50.49913241,Mais
269,70,39,38,29.10713092,73.62548442,45.04467075,Mais
270,89,50,38,28.57006111,55.64709899,58.37249772,Mais
271,73,51,37,27.54384835,65.7420046,40.12044158,Mais
272,84,54,38,33.04687968,65.77472881,51.09802625,Mais
273,78,51,39,33.95309131,60.61494304,58.86687093,Mais
274,67,55,40,30.11873003,72.33125523,56.04995423,Mais
275,72,40,42,29.57812712,71.59722446,58.41394143,Mais
276,86,59,40,27.26458947,69.36385721,54.96121262,Mais
277,72,41,41,31.35730791,66.20569924,49.61865305,Mais
278,40,41,38,31.52104732,61.55327249,52.84626009,Mais
279,41,52,39,29.39982732,55.97732754,55.03723979,Mais
280,38,37,40,29.38400259,59.24580604,54.62243308,Mais
281,39,58,41,28.38686534,65.92195844,59.03629954,Mais
282,40,55,36,28.47442276,72.52054555,52.93031105,Mais
283,41,53,39,32.79766751,63.31801994,56.52558045,Mais
284,36,52,39,26.42333018,67.816568,53.15223123,Mais
285,39,58,41,29.79181107,71.516474,50.46746116,Mais
286,39,36,37,27.44003279,63.73849998,39.23831035,Mais
287,68,48,36,34.1262979,72.61024172,44.17580911,Mais
288,71,42,39,30.94908189,71.96246617,45.48591922,Mais
289,64,56,41,28.75751783,61.37879671,56.09542002,Mais
290,84,57,40,27.24766491,59.37147589,41.39081525,Mais
291,71,57,41,28.63005477,72.80086137,57.99524359,Mais
292,89,48,36,26.41768321,63.24648023,43.15411472,Mais
293,82,53,39,32.81705216,62.49878458,50.91511275,Mais
294,64,42,39,29.6321052,59.66263104,43.78420984,Mais
295,83,38,41,33.49077065,70.74739256,49.50812624,Mais
296,85,39,37,31.86847286,16.98861173,36.45012824,Mais
297,67,42,42,30.32992227,17.13159126,37.45680611,Mais
298,68,40,36,28.546224,15.40589717,53.79732545,Mais
299,68,46,41,30.02629908,15.65809214,37.44800463,Mais
300,91,51,40,31.65531175,19.56381041,54.7960127,Mais
301,66,56,38,30.33499674,15.40312102,40.53173216,Mais
302,82,56,42,33.36984395,16.60820843,50.9246554,Mais
303,87,59,38,31.4345059,18.74926979,56.01913159,Mais
304,91,37,38,27.71678273,18.90426935,58.18713162,Mais
305,68,58,42,32.63918668,18.30968112,48.9366954,Mais
306,87,55,41,32.7477393,19.33470387,98.67527561,Mais
307,83,53,38,28.05153602,15.22538951,95.85118326,Mais
308,64,52,39,19.44084326,14.69765308,95.70525913,Mais
309,84,57,40,29.84823072,19.5161216,92.19721736,Mais
310,71,57,41,21.36383757,14.71070537,98.00687989,Mais
311,89,48,36,26.28663931,19.18197264,97.72843182,Mais
312,82,53,39,22.17499963,19.8601304,93.75441586,Mais
313,64,42,39,26.57597546,16.39535215,95.3713484,Mais
314,88,52,38,26.58972517,15.7559405,98.46768642,Mais
315,86,53,44,19.1345771,14.32313811,94.11213345,Mais
316,71,57,41,28.75273118,16.14565756,97.31258083,Mais
317,89,48,36,25.78746268,15.11279612,99.35408185,Mais
318,82,53,39,23.89271875,14.99927489,89.85646496,Mais
319,64,42,39,28.67408774,18.43475844,91.87312479,Mais
320,83,38,41,28.42062847,19.22008229,94.42850522,Mais
321,85,39,37,21.35499456,14.42457525,91.55845821,Mais
322,67,42,42,21.12695586,16.67921616,97.41054011,Mais
323,68,40,36,24.02037872,18.66725565,95.74606104,Mais
324,68,46,41,25.40474421,17.0662427,98.33351125,Mais
325,91,51,40,29.03017561,17.93253975,99.9834242,Mais
326,66,56,38,20.21368219,14.25803981,99.61465679,Mais
327,82,56,39,29.19585548,15.82069268,94.62954663,Mais
328,86,53,44,18.29783597,19.44225438,98.63333684,Mais
329,73,51,36,27.41434987,19.09172907,97.01331604,Mais
330,91,39,41,24.84063998,16.1074793,90.28624348,Mais
331,84,59,40,29.94413861,16.54314829,90.65022183,Mais
332,90,45,40,25.87990287,17.58406365,91.82271568,Mais
333,78,55,38,20.0467711,16.17772668,90.82549241,Mais
334,66,50,38,22.99451999,19.68538502,92.09609766,Mais
335,81,37,36,25.13163619,15.21618225,100.2585673,Mais
336,70,39,37,28.49584395,17.80852431,92.99739415,Mais
337,68,54,37,18.28766124,16.89574311,100.2160615,Mais
338,83,44,36,24.38041875,16.63805158,98.81596545,Mais
339,78,59,40,21.31852148,17.30457712,98.00644238,Mais
340,87,55,41,18.54141834,15.77458129,91.67241761,Mais
341,83,53,38,25.28710601,14.27327988,95.99487068,Mais
342,91,41,36,24.87425505,18.23490739,97.38741498,Mais
343,84,52,36,23.97081395,14.92241479,95.8445641,Mais
344,70,37,36,20.06003985,17.26184541,100.8124659,Mais
345,71,57,41,19.59221047,16.96070581,90.21633216,Mais
346,89,48,36,29.77013109,18.98030507,90.14047759,Mais
347,82,53,39,27.52135365,19.63719995,97.41586402,Mais
348,64,42,39,25.62896213,15.15405941,93.36718816,Mais
349,83,38,41,20.39078312,15.48083156,97.76832322,Mais
350,85,39,37,25.39038396,14.70085967,95.257992,Mais
351,67,42,42,24.91079638,16.71826572,92.37238878,Mais
352,68,40,36,27.70496805,18.91295403,91.63074547,Mais
353,68,46,41,18.06486101,17.63879418,92.26439205,Mais
354,91,51,40,18.13027797,17.86754927,96.27792547,Mais
355,66,56,38,23.82723528,16.02542689,94.49161372,Mais
356,82,56,42,23.19305333,17.41333199,90.29643888,Mais
357,87,59,38,25.08966129,14.99451145,90.40332704,Mais
358,91,37,38,25.86928193,14.72115044,90.89173106,Mais
359,68,58,42,18.43966037,17.17260319,95.23444287,Mais
360,65,39,39,27.14911056,18.74943955,100.7586226,Mais
361,69,46,40,23.33375853,18.71483156,96.59816497,Mais
362,78,51,39,21.79792649,15.83500655,94.76322976,Palay
363,67,55,40,24.70626432,19.96978871,98.28583013,Palay
364,72,40,42,20.94981756,18.25142068,91.01152997,Palay
365,86,59,40,24.84918386,17.54024066,91.09745581,Palay
366,72,41,41,21.91041045,14.44008871,91.405983,Palay
367,40,41,38,25.93381964,17.85057083,89.78216168,Palay
368,41,52,39,29.82112112,18.72831993,97.51952041,Palay
369,38,37,40,27.52185591,16.42891834,89.98024312,Palay
370,39,58,41,27.99627907,16.39055394,95.94035356,Palay
371,40,55,36,20.76774783,14.76014523,95.89898581,Palay
372,41,53,39,23.05276444,17.44534641,100.3060719,Palay
373,36,52,39,21.65845777,18.09665739,89.74409017,Palay
374,39,58,41,26.25070298,16.06240074,97.4611918,Palay
375,39,36,37,20.97195263,14.82633099,91.46664318,Palay
376,68,48,36,23.89736406,16.80472243,89.59371481,Palay
377,71,42,39,24.55981624,18.02235902,95.04871605,Palay
378,64,56,41,19.65690085,16.41998269,97.79072474,Palay
379,84,57,40,18.78359608,14.74071856,93.53197359,Palay
380,71,57,41,24.1469628,19.83643308,91.77522598,Mais
381,89,48,36,22.44581266,15.9362937,96.23520043,Mais
382,90,45,40,24.96273236,15.57324389,96.63721027,Mais
383,78,55,38,22.5526059,17.60756635,96.38808001,Palay
384,66,50,38,22.77035608,15.27824066,98.05089394,Palay
385,81,37,36,19.20090378,18.75626255,91.22881052,Palay
386,65,51,40,19.1345771,14.33847406,98.57025046,Palay
387,87,53,38,28.75273118,19.76182946,90.38503469,Palay
388,75,40,40,25.78746268,14.77959596,96.08745082,Palay
389,64,46,40,23.89271875,89.71503316,94.67344737,Mais
390,70,47,38,28.67408774,83.24855855,89.29147581,Palay
391,86,56,38,28.42062847,85.5701901,97.45373619,Palay
392,67,55,36,21.35499456,87.93598094,91.54560427,Palay
393,79,36,40,21.12695586,82.1193047,95.8946444,Palay
394,80,41,38,24.02037872,86.73346018,93.17221967,Palay
395,88,39,37,25.40474421,86.45147631,100.7720705,Palay
396,64,38,38,29.03017561,82.35916228,93.92375879,Palay
397,70,37,42,20.21368219,84.96089355,91.88766069,Palay
398,75,37,36,29.19585548,86.45193297,91.10190759,Palay
399,71,36,39,18.29783597,85.16906976,67.12534492,Palay
400,66,42,39,27.41434987,80.4513142,68.38135469,Palay
401,83,41,40,24.84063998,84.96771717,68.73932528,Mais
402,83,45,41,29.94413861,83.64274107,66.83872293,Mais
403,71,43,41,25.87990287,89.07866095,65.34440794,Mais
404,71,47,37,20.0467711,87.93724219,70.39906054,Palay
405,78,56,40,22.99451999,85.81675947,66.76285469,Palay
406,90,54,42,24.55981624,80.29868321,69.63122027,Palay
407,69,36,40,19.65690085,86.404241,66.77844567,Palay
408,91,35,40,29.94413861,83.64274107,66.83872293,Palay
409,70,54,42,25.87990287,89.07866095,65.34440794,Palay
410,66,40,42,20.0467711,87.93724219,70.39906054,Palay
411,77,53,39,22.99451999,85.81675947,66.76285469,Palay
412,77,49,41,24.55981624,80.29868321,69.63122027,Palay
413,84,55,39,19.65690085,86.404241,66.77844567,Mais
414,89,57,36,19.45339934,63.64698302,42.44054315,Mais
415,82,48,39,19.12829388,66.15665137,70.10472076,Mais
416,64,45,41,19.1034283,65.91359954,63.9187654,Mais
417,83,55,40,17.48504075,62.73317204,38.53254678,Mais
418,85,50,41,19.40751744,66.74217464,32.81296548,Mais
419,67,37,36,20.18649426,65.62971858,54.73367631,Mais
420,68,51,39,17.30287885,66.31394098,38.7976407,Mais
421,68,53,39,17.50361137,67.88811637,55.296354,Mais
422,91,40,41,18.17234999,60.13263713,36.35720652,Mais
423,66,46,37,17.57445618,63.54718862,44.75215854,Mais
424,82,47,42,20.93175255,65.67718163,42.99498978,Palay
425,87,56,36,19.71098332,62.99303471,56.48265193,Palay
426,91,55,41,19.07937684,63.29103387,53.01899249,Palay
427,68,36,40,18.54988627,61.3009051,41.82490236,Palay
428,87,41,38,18.19903647,67.77954584,46.75690086,Palay
429,83,39,42,18.88852533,63.49802189,59.87232071,Palay
430,64,38,38,18.49311205,63.27771461,44.64407105,Palay
431,84,37,38,19.48974337,60.63872613,44.01206619,Palay
432,71,37,40,17.25769499,69.92375891,45.91011391,Palay
433,89,36,36,19.62416326,68.51966729,37.54602719,Palay
434,82,42,41,20.67526473,62.13873825,40.77872823,Palay
435,71,41,39,20.02381489,60.97876599,42.83053902,Palay
436,73,45,38,20.1187446,66.14007674,51.52617423,Palay
437,88,39,42,20.65691793,62.57526895,49.11964582,Palay
438,90,46,41,19.2582557,69.15640149,57.65901369,Palay
439,74,51,39,20.57981887,60.2816298,43.1386631,Palay
440,91,55,40,24.71417533,61.78779413,48.54598575,Palay
441,84,40,40,20.27317074,63.18832976,56.76278363,Palay
442,70,59,39,18.41932981,61.77336343,37.31236904,Mais
443,84,41,40,23.39128187,62.60136323,56.51103293,Palay
444,65,41,36,19.84939404,63.18738532,37.01110438,Palay
445,89,52,39,21.869274,61.62313345,50.47333854,Palay
446,87,37,41,22.8056033,65.8567539,57.79863368,Palay
447,70,58,40,19.0781471,64.49166566,44.56598352,Palay
448,68,55,41,22.02720976,68.65257685,56.68833819,Palay
449,83,53,36,23.80546189,68.01965728,59.87065439,Palay
450,68,52,39,18.52510753,69.6897615,48.48319335,Palay
451,69,58,39,23.50297882,63.41785982,48.56690235,Palay
452,91,36,41,26.54986394,60.09116626,43.80041104,Palay
453,70,48,37,19.29563411,67.31323084,36.94616965,Palay
454,66,42,42,20.68899915,67.55109024,53.43228915,Mais
455,64,56,36,19.32666088,65.84395319,50.49913241,Palay
456,67,57,41,24.60532218,66.70897237,45.04467075,Palay
457,69,57,40,22.27373646,66.92642362,58.37249772,Palay
458,67,48,38,25.70196694,62.44616219,40.12044158,Mais
459,76,45,42,19.20129357,69.48515056,51.09802625,Mais
460,69,55,38,21.70181447,61.18458224,58.86687093,Mais
461,75,50,38,20.51716779,66.43934593,56.04995423,Palay
462,84,37,42,23.30355338,62.70637578,58.41394143,Palay
463,79,51,39,24.2547451,60.85993533,54.96121262,Palay
464,67,53,40,24.86374934,69.12613376,49.61865305,Palay
